name,rating,studio,genre,actor1,actor2,actor3,writer,director,date,origin,metascore,Worldwide Gross
8 Mile,R,Universal Pictures,Musical,Eminem,Kim Basinger,Brittany Murphy,Scott Silver,Curtis Hanson,2003,USA,77,242300000
Face/Off,R,Paramount Pictures,Action,John Travolta,Nicolas Cage,Joan Allen,Mike Werb,John Woo,2002,USA,82,241600000
The Blair Witch Project,R,Artisan Entertainment,Suspense/Thriller,Heather Donahue,Michael C. Williams,Joshua Leonard,Daniel Myrick,Daniel Myrick,2000,USA,81,240500000
Love Actually,R,Universal Pictures,Comedy,Hugh Grant,Alan Rickman,Emma Thompson,Richard Curtis,Richard Curtis,2004,UK,55,239200000
Batman & Robin,PG,Warner Bros.,Action,George Clooney,Chris O'Donnell,Arnold Schwarzenegger,Akiva Goldsman,Joel Schumacher,1997,USA,28,237200000
Saturday Night Fever,R,Paramount Pictures,Musical,John Travolta,Karen Lynn Gorney,Barry Miller,Norman Wexler,John Badham,2002,USA,77,237113184
Dead Poets Society,PG,Touchstone/Buena Vista Pictures,Drama,Robin Williams,Robert Sean Leonard,Ethan Hawke,Tom Schulman,Peter Weir,1998,USA,79,235900000
2 Fast 2 Furious,PG,Universal Pictures,Suspense/Thriller,Paul Walker,Tyrese,Cole Hauser,Michael Brandt,John Singleton,2003,USA,38,234400000
Eraser,R,Warner Bros.,Action,Arnold Schwarzenegger,James Caan,Vanessa L. Williams,Tony Puryear,Chuck Russell,1997,USA,56,234400000
Big Daddy,PG,Columbia Pictures / Sony Pictures Entertainment,Comedy,Adam Sandler,Joey Lauren Adams,Jon Stewart,Steve Franks,Dennis Dugan,2001,USA,41,233500000
The Mask of Zorro,PG,Sony Pictures Entertainment,Adventure,Antonio Banderas,Jose Maria de Tavira,Anthony Hopkins,John Eskow,Martin Campbell,2001,USA,63,233400000
Bean,PG,Gramercy Pictures,Comedy,Rowan Atkinson,Peter MacNicol,John Mills,Richard Curtis,Mel Smith,2005,UK / USA,52,232000000
The English Patient,R,Miramax Films,Romance,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Anthony Minghella,Anthony Minghella,1998,USA,87,231700000
American Wedding,R,Universal Pictures,Romance,Jason Biggs,Seann William Scott,Alyson Hannigan,Adam Herz,Jesse Dylan,2004,USA,43,230700000
Gone in Sixty Seconds,PG,Buena Vista Pictures,Crime,Nicolas Cage,Angelina Jolie,Giovanni Ribisi,Scott Rosenberg,Dominic Sena,2000,USA,35,230500000
The Ring,PG,DreamWorks Distribution LLC,Suspense/Thriller,Naomi Watts,Martin Henderson,David Dorfman,Ehren Kruger,Gore Verbinski,2003,USA / Japan,57,230100000
Constantine,R,Warner Bros.,Action,Keanu Reeves,Rachel Weisz,Shia LaBeouf,Kevin Brodbin,Francis Lawrence,2005,USA,50,229500000
Bridget Jones: The Edge of Reason,R,Universal Pictures,Comedy,Rene Zellweger,Colin Firth,Hugh Grant,Andrew Davies,Beeban Kidron,2005,UK,44,228203020
Sleepless in Seattle,PG,TriStar Pictures,Comedy,Tom Hanks,Meg Ryan,Bill Pullman,Nora Ephron,Nora Ephron,2003,USA,71,227900000
Something's Gotta Give,PG,Sony Pictures Entertainment,Comedy,Jack Nicholson,Diane Keaton,Amanda Peet,Nancy Meyers,Nancy Meyers,2004,USA,66,227500000
Lethal Weapon 2,R,Warner Bros. Pictures,Action,Mel Gibson,Danny Glover,Joe Pesci,Shane Black,Richard Donner,1997,USA,70,227300000
