Date,Open,High,Low,Close,Volume,Adj Close
18/01/2007,5663.1,5687.1,5659,5680,665687200,5680
17/01/2007,5672.7,5677.5,5653,5654.2,601120100,5654.2
16/01/2007,5678.1,5711.7,5672.1,5680.5,630157900,5680.5
15/01/2007,5648.5,5680,5639.9,5680,454911500,5680
12/01/2007,5584.1,5644.5,5584.1,5644.5,640677400,5644.5
11/01/2007,5540,5579.8,5535.6,5571.1,687091700,5571.1
10/01/2007,5589.5,5589.5,5527.9,5527.9,771193200,5527.9
9/01/2007,5524.9,5596.7,5523.5,5596,791395600,5596
8/01/2007,5568.9,5570.4,5506.7,5509.6,574292100,5509.6
5/01/2007,5587.5,5618.5,5573.1,5579.7,517461400,5579.7
4/01/2007,5642.6,5643.3,5592.2,5592.2,588597900,5592.2
3/01/2007,5688.8,5705.1,5651.7,5657.4,357372200,5657.4
2/01/2007,5679.2,5697.4,5676.8,5677.6,274725200,5677.6
29/12/2006,5665.2,5690.7,5663.5,5676.5,315318500,5676.5
28/12/2006,5656,5679.5,5656,5666.7,357345900,5666.7
27/12/2006,5607.2,5649.1,5606.3,5649.1,196523600,5649.1
22/12/2006,5585,5609.3,5563.7,5609.3,702255000,5609.3
21/12/2006,5614.4,5615.4,5587.7,5589.9,1019125100,5589.9
20/12/2006,5575,5624.9,5574.5,5614.7,811302200,5614.7
19/12/2006,5593.9,5604.7,5564.7,5566.9,714964200,5566.9
18/12/2006,5579.5,5604.2,5579.5,5599.1,700631000,5599.1
15/12/2006,5584.7,5594.4,5572.8,5582.7,732999500,5582.7
14/12/2006,5504,5580.3,5504,5580.3,710998400,5580.3
13/12/2006,5476.3,5512.4,5475.6,5496.2,655067100,5496.2
12/12/2006,5477.3,5510.1,5476.8,5482,764389200,5482
11/12/2006,5437.7,5485.6,5436.7,5478,590499300,5478
8/12/2006,5464.8,5469.4,5434.7,5434.7,640714900,5434.7
7/12/2006,5470.1,5479.8,5459.2,5473.5,710468100,5473.5
6/12/2006,5446.3,5475,5445.3,5475,821193400,5475
5/12/2006,5447.5,5474.5,5435,5435,798405100,5435
4/12/2006,5434.8,5448.8,5420.9,5434.2,565905700,5434.2
